company_name,cin,csr_total_rank,csr_2011_12,csr_2012_13,csr_2013_14,public
NUMALIGARH REFINERY LTD.,U11202AS1993GOI003893,77,58.6,55.1,52.9,1
WESTERN COALFIELDS LTD.,U10100MH1975GOI018626,78,71.3,209.5,238,1
SHREE CEMENT LTD.,L26943RJ1979PLC001935,79,85.9,92.8,,0
GRASIM INDUSTRIES LTD.,L17124MP1947PLC000410,80,,,,0
BHARTI INFRATEL LTD.,L64201HR2006PLC073821,81,,,56.7,0
DABUR INDIA LTD.,L24230DL1975PLC007908,82,,,206.3,0
VODAFONE IDEA LTD.,L32100GJ1996PLC030976,83,,,,0
LUPIN LTD.,L24100MH1983PLC029442,84,,,,0
I D F C LTD.,L65191TN1997PLC037415,85,,300,289.1,1
TITAN COMPANY LTD.,L74999TZ1984PLC001456,86,,30,40,0
RUNGTA MINES LTD.,U26911WB1962PLC025691,87,,,,0
ODISHA MINING CORPN. LTD.,U13100OR1956SGC000313,88,28.1,60.8,85.5,1
KOTAK MAHINDRA BANK LTD.,L65110MH1985PLC038137,89,,40.9,36.3,0
CADILA HEALTHCARE LTD.,L24230GJ1995PLC025878,90,,79.8,149.1,0
PEE VEE TEXTILES LTD.,U17110MH1986PLC039177,91,,,,0
PUNJAB NATIONAL BANK,NA,92,,32.4,29.4,1
GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,L24231PB1958PLC002257,93,,0.087,17.5,0
RANE BRAKE LINING LTD.,L63011TN2004PLC054948,94,,,,0
U P L LTD.,L24219GJ1985PLC025132,95,,,,0
GODREJ CONSUMER PRODUCTS LTD.,L24246MH2000PLC129806,96,,30.7,45.2,0
AUROBINDO PHARMA LTD.,L24239TG1986PLC015190,97,,,,0
GLENMARK PHARMACEUTICALS LTD.,L24299MH1977PLC019982,98,3.2,6,8,0
PIDILITE INDUSTRIES LTD.,L24100MH1969PLC014336,99,,,,0
J S W ENERGY LTD.,L74999MH1994PLC077041,100,,36.7,63.1,0
